day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	2
1	9	0
1	10	1
1	11	0
1	12	0
1	13	1
1	14	2
1	15	0
1	16	2
1	17	0
1	18	2
1	19	1
1	20	0
1	21	8
1	22	1
1	23	1
1	24	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	3
2	9	0
2	10	2
2	11	0
2	12	0
2	13	0
2	14	1
2	15	0
2	16	0
2	17	0
2	18	2
2	19	0
2	20	1
2	21	6
2	22	2
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	2
3	9	1
3	10	0
3	11	3
3	12	1
3	13	0
3	14	0
3	15	5
3	16	0
3	17	0
3	18	1
3	19	0
3	20	1
3	21	2
3	22	0
3	23	1
3	24	2
4	1	2
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	1
4	11	0
4	12	0
4	13	0
4	14	0
4	15	0
4	16	1
4	17	0
4	18	2
4	19	0
4	20	1
4	21	0
4	22	1
4	23	3
4	24	5
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	2
5	11	0
5	12	0
5	13	0
5	14	0
5	15	0
5	16	1
5	17	0
5	18	2
5	19	0
5	20	1
5	21	1
5	22	5
5	23	0
5	24	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	1
6	9	2
6	10	0
6	11	2
6	12	0
6	13	2
6	14	0
6	15	0
6	16	0
6	17	3
6	18	0
6	19	0
6	20	2
6	21	1
6	22	0
6	23	0
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	2
7	10	0
7	11	1
7	12	1
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	1
7	22	0
7	23	0
7	24	0
