day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	1
1	10	5
1	11	6
1	12	1
1	13	0
1	14	1
1	15	2
1	16	0
1	17	1
1	18	0
1	19	0
1	20	0
1	21	1
1	22	0
1	23	3
1	24	4
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	6
2	11	1
2	12	5
2	13	3
2	14	1
2	15	0
2	16	4
2	17	1
2	18	0
2	19	0
2	20	2
2	21	2
2	22	0
2	23	0
2	24	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	4
3	11	3
3	12	6
3	13	7
3	14	17
3	15	0
3	16	3
3	17	9
3	18	0
3	19	1
3	20	0
3	21	0
3	22	2
3	23	0
3	24	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	10
4	11	2
4	12	0
4	13	1
4	14	4
4	15	0
4	16	4
4	17	0
4	18	1
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	7
5	10	5
5	11	2
5	12	10
5	13	27
5	14	10
5	15	3
5	16	10
5	17	3
5	18	11
5	19	2
5	20	0
5	21	1
5	22	0
5	23	0
5	24	1
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	3
6	14	0
6	15	0
6	16	2
6	17	1
6	18	0
6	19	2
6	20	0
6	21	0
6	22	0
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	0
7	9	0
7	10	0
7	11	1
7	12	0
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
